Date,Close,Delta_volume,SMA_26,SMA_55,adx,obv,bb_bbh,bb_bbl,lower_wick,upper_wick,body_size
2024-04-10 00:00:00,3513.0,-553.2940000000017,3474.0784615384614,3412.0656363636363,30.46948583816287,-552551.3510000001,3752.603509099449,3280.5144909005503,40.76000000000022,24.5,6.599999999999909
2024-04-10 04:00:00,3536.61,3486.6890000000058,3482.492307692308,3410.723636363636,28.91997892202324,-515785.29960000014,3749.4439433091497,3302.17605669085,7.0300000000002,17.579999999999927,23.59999999999991
2024-04-10 08:00:00,3521.32,-5396.351800000004,3489.7992307692307,3410.2589090909096,27.684110334617987,-570424.1172000001,3747.080218844312,3317.830781155688,28.25,3.75,-15.289999999999964
2024-04-10 12:00:00,3479.41,-4292.8609,3495.5307692307692,3409.1940000000004,27.636952306135157,-699277.5859000001,3742.5937021203627,3331.739297879638,67.58999999999969,6.6599999999998545,-41.92000000000007
2024-04-10 16:00:00,3521.52,993.6055000000051,3502.8711538461534,3410.602727272727,27.202013517210208,-626147.0844,3738.059263970649,3349.39173602935,9.909999999999854,25.9699999999998,42.11000000000013
2024-04-10 20:00:00,3545.64,1651.3947000000044,3510.9584615384615,3411.681090909091,26.489918620808307,-589133.8101,3732.625807124811,3370.3761928751874,25.940000000000055,17.309999999999945,24.11999999999989
2024-04-11 00:00:00,3575.84,1880.660299999996,3519.6738461538457,3412.990909090909,25.5552511038483,-552660.169,3724.805328608805,3397.641671391195,21.36999999999989,0.7599999999997635,30.200000000000273
2024-04-11 04:00:00,3583.4,-1759.9376000000047,3528.5896153846156,3416.942181818182,24.1213413783217,-503940.9514,3723.8873468508395,3411.4796531491606,22.809999999999945,22.360000000000127,7.559999999999945
2024-04-11 08:00:00,3522.88,-6153.6918000000005,3533.7615384615387,3419.850909090909,23.399420162428743,-573047.1778000001,3715.9069987598596,3429.448001240141,8.309999999999945,34.90000000000009,-60.51999999999998
2024-04-11 12:00:00,3508.32,-2266.7742,3538.497307692308,3423.481454545454,23.138610679290704,-681994.9380000001,3713.6080361570926,3435.1909638429065,22.01000000000022,52.11000000000013,-14.569999999999709
