Date,Close,Delta_volume,SMA_26,SMA_55,adx,obv,atr,bb_bbh,bb_bbl,body_size
2024-06-10 00:00:00,69613.2,294.61467000000016,70132.05384615385,69556.07381818182,28.961509920785794,22781.184840000005,493.4988085598097,71389.48862882327,68340.95437117673,-34.94999999999709
2024-06-10 04:00:00,69303.99,-233.73802000000012,70062.66884615386,69584.9589090909,28.12457665223672,20669.324440000004,488.7853222341086,71270.20555357636,68310.73044642365,-309.20999999999185
2024-06-10 08:00:00,69473.89,-136.40976999999975,70002.04923076923,69618.44636363637,27.51740322617263,22886.621810000004,480.85137064595847,71092.74579735928,68336.6112026407,169.88999999999942
2024-06-10 12:00:00,70066.12,277.7047199999997,69965.305,69662.18363636364,25.899529319064083,27091.207490000004,517.5298441712475,70896.78204492955,68428.18695507043,592.2299999999959
2024-06-10 16:00:00,69490.8,-521.9684200000002,69900.72,69694.90218181818,24.39721783389186,22795.046030000005,534.4412838733018,70358.43346093039,68745.6165390696,-575.3199999999924
2024-06-10 20:00:00,69540.0,21.13232999999991,69833.0276923077,69727.37927272727,22.860791113780568,25101.715420000004,522.413335025208,69846.55487372943,69100.34112627058,49.19000000000233
2024-06-11 00:00:00,68464.0,-754.4395199999999,69755.50884615384,69740.05472727273,23.65113246059952,17033.046420000006,605.8130968091212,70005.91642315101,68861.87957684902,-1076.0
2024-06-11 04:00:00,67570.18,-271.4783699999998,69631.32115384616,69736.06763636364,25.0164578170072,9235.248090000006,643.8978756084697,70339.00654122367,68350.24745877634,-893.820000000007
2024-06-11 08:00:00,66890.01,-237.83561999999984,69473.64153846154,69720.95872727272,26.813141826803495,1952.7492300000067,664.3687416364365,70676.18292727377,67758.87207272623,-680.1699999999983
2024-06-11 12:00:00,66244.48,-224.19472999999925,69286.50615384615,69684.4670909091,28.9724145952412,-7396.874399999993,704.6195458052628,70989.06276188587,67112.22023811413,-645.5200000000041
2024-06-11 16:00:00,67407.01,51.79641999999967,69121.39153846154,69671.10054545454,30.27182696307893,-845.7237999999934,756.1024353906015,71011.70663323345,66893.68436676655,1162.5299999999988
2024-06-11 20:00:00,67314.24,-320.2176599999998,68975.34153846154,69663.4149090909,31.474769584015757,-3231.9992599999932,731.6879757198445,71011.64797262567,66682.16602737435,-92.77999999999884
2024-06-12 00:00:00,67407.0,-302.06826,68904.26461538461,69656.89436363637,32.818098336199036,-309.7458599999932,728.7924060255694,70976.61900505408,66511.89399494593,92.77000000000407
2024-06-12 04:00:00,67453.63,260.07033,68831.11192307693,69640.00018181819,33.99196857777786,2402.772170000007,707.3729484523144,70935.7070674249,66367.12293257509,46.620000000009895
2024-06-12 08:00:00,67778.43,372.9649999999997,68767.51307692307,69619.48618181818,34.01347365088771,5761.492570000008,707.2741664200056,70874.0073050359,66280.72769496411,324.7899999999936
2024-06-12 12:00:00,69734.0,1176.9113199999993,68773.35153846155,69631.37709090908,32.25575107391462,18165.12841000001,818.397440247148,70931.02508030037,66267.54591969962,1955.570000000007
2024-06-12 16:00:00,67532.92,-842.5436200000004,68702.85115384615,69593.516,29.992913421315386,6277.106410000008,946.5404802294942,70855.45748415486,66159.63651584512,-2201.0800000000017
2024-06-12 20:00:00,68263.99,111.12329,68658.00423076923,69576.42490909091,27.891707029616096,10167.280300000008,968.4968744988165,70749.35848154622,66141.27051845379,731.070000000007
2024-06-13 00:00:00,67474.94,-772.2987500000008,68581.65538461538,69552.15290909092,26.42364475744793,4998.630510000007,1001.007812034616,70597.82764010869,66069.26935989132,-789.0399999999936
2024-06-13 04:00:00,67724.81,246.32069,68520.66884615384,69525.87272727273,25.060444076148922,7962.389100000008,960.1579683178578,70432.47889793967,66042.28510206033,249.86000000000058
2024-06-13 08:00:00,67739.99,218.4630900000002,68462.23076923077,69502.71563636365,23.431223612693795,11724.608790000008,948.9466848665821,70254.2346984452,66033.2083015548,15.190000000002328
2024-06-13 12:00:00,66470.01,-985.0828299999994,68353.55269230768,69457.51854545454,22.92633079253046,1552.6956200000077,1029.774778804684,70161.87642400397,65842.16857599601,-1269.9900000000052
